Model,Time,accuracy,f1,auc_roc,auc_pr,mcc
KNN_Euclidean,25.166330814361572,0.7255260750228728,0.7172753194860483,0.7840442434162022,0.6190807969118057,0.37105321867432517
KNN_Manhattan,90.91038751602173,0.7268984446477584,0.7186215054887357,0.790816965997228,0.6276285874300777,0.37412779717805666
KNN_Minkowski,552.2446775436401,0.7250686184812443,0.7185658777900276,0.7810417219617211,0.6170358618555064,0.3738359088291624
KNN_Cosine,67.13147306442261,0.7410795974382434,0.7361589337321668,0.801123503347194,0.6548559663762744,0.41362119011169984
KNN_Scaled_Standard,124.47960615158081,0.7246111619396157,0.6742064755896023,0.8085431780648205,0.7046918097357517,0.35724897858212273
KNN_Scaled_MinMax,108.30787634849548,0.7264409881061299,0.6728161969468082,0.7919790837240851,0.6990282188020069,0.36795018847184974
KNN_Scaled_Robust,125.83693790435791,0.7506861848124429,0.7206138950382435,0.8109319244153469,0.7122273264251383,0.42250479218996
KNN_FeatureSelection_F,35.28465533256531,0.7872827081427265,0.7775270788018193,0.8385259997345837,0.7453100303304987,0.5127935031948724
KNN_FeatureSelection_MI,407.28846502304077,0.7790484903934126,0.7678685498193203,0.8178474925535995,0.7345751018005748,0.4923715629017624
KNN_PCA,66.91631197929382,0.7465690759377859,0.7224498905539127,0.7870191173434781,0.6672235054075524,0.40843724359238076
